sd_id,fname,lname,sd_address,sd_city,sd_state,email,birth_date,phone_number
82,Gabbie,Crates,1236 Ridgeview Place,Mandeville,LA,gcrates29@jugem.jp,8/16/1977,753-760-6565
83,Bev,Ruffy,2 Vera Point,Madisonville,LA,bruffy2a@bigcartel.com,6/1/1965,750-504-9176
84,Jenilee,Pohlke,6 Forest Court,Mandeville,LA,jpohlke2b@umich.edu,8/10/1965,218-203-8087
85,Lenard,Huby,58423 Barnett Plaza,Madisonville,LA,lhuby2c@economist.com,1/2/1995,755-423-0698
86,Flori,Durak,60205 Lakeland Drive,Madisonville,LA,fdurak2d@pbs.org,4/5/1975,938-882-8823
87,Kerrie,Marden,5182 Grayhawk Way,Madisonville,LA,kmarden2e@ow.ly,3/29/1964,434-970-2062
88,Agosto,Bridewell,1307 Di Loreto Junction,Hammond,LA,abridewell2f@cdc.gov,5/28/1993,454-265-0543
89,Kendal,Seabon,8 Express Street,Hammond,LA,kseabon2g@addthis.com,9/30/1993,964-518-0366
90,Bond,Peckham,0813 Arapahoe Drive,Madisonville,LA,bpeckham2h@gmpg.org,1/23/1962,831-746-7092
91,Hanson,Borles,3 Maple Wood Alley,Hammond,LA,hborles2i@sakura.ne.jp,10/18/1992,706-975-2706
92,Dell,Stennett,5 Northwestern Park,Madisonville,LA,dstennett2j@ted.com,6/13/1991,148-974-0184
93,Man,Whitely,9 Jackson Terrace,Mandeville,LA,mwhitely2k@deviantart.com,1/14/1967,842-714-5967
94,Nell,Slatford,790 Ruskin Junction,Madisonville,LA,nslatford2l@opensource.org,2/22/1981,533-500-6417
95,Amanda,Skip,48353 Arizona Park,Madisonville,LA,askip2m@discuz.net,4/5/1976,248-736-9823
96,Merle,Pankettman,90811 Elmside Hill,Hammond,LA,mpankettman2n@toplist.cz,7/13/1972,869-764-6079
97,Merill,Malinson,847 Clove Pass,Mandeville,LA,mmalinson2o@mit.edu,8/27/1965,993-534-7611
98,Berny,Kleewein,64 Mccormick Road,Mandeville,LA,bkleewein2p@bluehost.com,10/6/1971,325-437-7269
99,Tove,Sailor,34 Union Street,Madisonville,LA,tsailor2q@tamu.edu,12/31/1970,287-310-8257
100,Karolina,Gribbon,40 Sunnyside Road,Mandeville,LA,kgribbon2r@t.co,4/23/1976,464-363-7915
